Position,Location,Closing Date,Scrape date
Expat Captain B757/767,via Email (Expatrecruitment@ethiopianairlines.com),Open,2025-06-29
Expat Captain A350,via Email Expatrecruitment@ethiopianairlines.com,Open,2025-06-29
Expat Captain B777/787,via Email Expatrecruitment@ethiopianairlines.com,Open,2025-06-29
Expat Captain B737,via Email Expatrecruitment@ethiopianairlines.com,Open,2025-06-29
Executive Chef In-flight Catering (Africa),Email (Expatrecruitment@ethiopianairlines.com),"July 25, 2025",2025-07-11
Executive Chef In-flight Catering (Indian),Email (Expatrecruitment@ethiopianairlines.com),"July 25, 2025",2025-07-11
Jr. Customer Service Agent- Yaounde CTO,"Ethiopian Airlines Yaounde Office, Nv. Rte Bastos","21 Sep, 2025",2025-09-05
Executive Chef In-flight Catering (Africa),Send CV and all credentials to Expatrecruitment@ethiopianairlines.com stating the subject position.,"October 28, 2025",2025-09-29
Executive Chef In-flight Catering (Indian),Send CV and all credentials to Expatrecruitment@ethiopianairlines.com stating the subject position.,"October 28, 2025",2025-09-29
Executive Chef In-flight Catering (Indian),via Email  Expatrecruitment@ethiopianairlines.com,"January 11, 2026",2025-12-13
Executive Chef In-flight Catering (Middle East/Arabian),Email: Expatrecruitment@ethiopianairlines.com,"February 20, 2026",2026-01-23
